,tns_name,DM,DM_err,ra,ra_err,dec,dec_err,fluence,fluence_err,flux,flux_err,exp_up,exp_up_err,exp_low,exp_low_err,notes,li_err,rm_fdf,rm_fdf_err,rm_qu,rm_qu_err,rm_mw,rm_mw_err,dm_mw,pa_chi_squared,depol_frac,li,Time_res(s),Fitburst_DM,Fitburst_DM_err,Widths(s),Widths_err(s),Min_width(s),Min_width_err(s),Num_comps,Duration(s),Rel_arrival_time(s),Scattering_600 MHz(ms),Scattering_err(ms),Bandwith (MHz)
19,FRB20181231C,556.032,0.022,202.332,49,69.214,42,12.6,1.4,7.22,0.88,47.4,1.0,0.0,0.0,"The correct lobe of the formed beam is uncertain, RA could be shifted by up to +-3/cos(Dec) deg. ",-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,11,5,42,-9999.0,-9999.0,<0.23,0.00032768,556.1128697074,0.0320503045,[0.0002515379],[3.48713e-05],0.0002515379,3.48713e-05,1.0,0.0039321600000000005,[0.0],0.229,0.085,>45.4
20,FRB20190102A,699.06,0.4,7.5613,18,26.7447,22,95.9,9.7,15.5,1.6,15.75,0.49,0.0,0.0,-9999,0.013000000000000001,198.8,0.159,-198.4,0.036000000000000004,-52,8,44,1.3599999999999999,-9999.0,0.74,8.192e-05,699.0479692983,0.4043478106,[0.0011646772],[3.5162e-05],0.0011646772,3.5162e-05,1.0,0.01089536,[0.0],1.028,0.027,>73.9
21,FRB20190102B,367.069,0.037,21.7419,20,21.5075,23,10.7,1.1,5.36,0.57,14.53,0.73,0.0,0.0,-9999,0.03,-13.4,0.131,-13.3,0.033,-41,9,43,0.76,1.1,0.86,8.192e-05,367.0837496388,0.0370757663,[0.00031539100000000004],[1.36255e-05],0.00031539100000000004,1.36255e-05,1.0,0.00352256,[0.0],0.549,0.033,400.0
22,FRB20190103C,1349.28,0.13,104.04,25,11.0347,34,31.3,3.2,4.51,0.5,7.2,1.6,0.0,0.0,-9999,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,33,22,75,-9999.0,-9999.0,<0.14,0.00065536,1349.0286971705,0.1262211756,[0.0014109149],[8.11402e-05],0.0014109149,8.11402e-05,1.0,0.01507328,[0.0],1.62,0.193,>140.0
23,FRB20190106B,316.536,0.0021,338.0177,24,46.1942,13,25.0,2.5,27.4,2.7,21.89,0.57,0.0,0.0,-9999,0.009000000000000001,-73.2,0.031,73.0,0.033,-133,36,46,11.54,-9999.0,0.91,1.024e-05,316.531040298,0.0021248879,"[1.4588000000000002e-05, 6.81022e-05, 4.49086e-05, 8.38369e-05, 0.0002281328]","[2.889e-07, 1.0251e-06, 1.6815000000000001e-06, 2.7985e-06, 1.82546e-05]",1.4588000000000002e-05,2.889e-07,5.0,0.0013824,"[0.0, 6.144000000000001e-05, 0.00043008, 0.00062464, 0.0009830400000000001]",<0.015,0.0,>376.5
24,FRB20190110A,472.7885,0.0033,67.4579,13,47.4804,14,32.2,3.3,27.3,2.8,11.7,3.0,0.0,0.0,-9999,0.013000000000000001,-31.1,0.052000000000000005,-30.7,0.062,-36,23,54,3.54,-9999.0,0.92,5.12e-06,472.7863853225,0.0033393541,"[2.60536e-05, 1.8894000000000002e-05]","[1.8972e-06, 3.0408e-06]",1.8894000000000002e-05,3.0408e-06,2.0,0.00136192,"[0.0, 0.0006238385]",0.179,0.015,>290.5
25,FRB20190110C,222.011,0.011,249.3278,25,41.4434,26,5.27,0.64,3.36,0.41,13.6,1.9,0.0,0.0,-9999,0.057,118.5,0.252,118.4,0.34900000000000003,8,2,42,2.15,-9999.0,0.96,0.00065536,222.0502469712,0.018273442100000002,[0.0006284895],[3.0247800000000002e-05],0.0006284895,3.0247800000000002e-05,1.0,0.00458752,[0.0],<0.628,0.0,76.2
26,FRB20190111B,1336.866,0.011,259.9929,14,13.5434,17,28.1,2.9,30.8,3.1,18.7,0.0,0.0,0.0,-9999,0.013000000000000001,332.0,0.099,331.9,0.10400000000000001,37,15,46,2.45,-9999.0,0.63,1.024e-05,1336.8640636152,0.0108587179,[0.000130177],[3.8883000000000005e-06],0.000130177,3.8883000000000005e-06,1.0,0.00114688,[0.0],0.19,0.009,>238.5
27,FRB20190115B,748.181,0.026,77.5418,25,82.0083,29,7.82,0.86,3.53,0.39,127.9,1.5,127.9,0.87,-9999,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-13,8,45,-9999.0,-9999.0,<0.1,0.00016384,748.1872898638,0.0263259344,"[0.00032484200000000005, 0.0003280018, 0.0005522063000000001]","[6.72461e-05, 2.93529e-05, 6.34357e-05]",0.00032484200000000005,6.72461e-05,3.0,0.00589824,"[0.0, 0.0026601235, 0.0041564584]",<0.325,0.0,400.0
28,FRB20190116A,444.99,0.5,192.27,66,27.164,88,6.5,0.75,0.72,0.14,19.92,0.29,0.0,0.0,Event of the repeating source FRB20190116B. ,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999,-9999,-9999.0,-9999.0,0,0.00065536,445.3788996117,0.5820553453,[0.0053088938000000006],[0.0003214532],0.0053088938000000006,0.0003214532,1.0,0.019005440000000002,[0.0],<5.309,0.0,298.4
29,FRB20190117A,393.126,0.047,331.6579,15,17.3688,16,24.0,2.5,6.62,0.68,18.69,0.11,0.0,0.0,Event of the repeating source FRB20190117A. ,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999,-9999,-9999.0,-9999.0,0,8.192e-05,393.0795336057,0.0471949269,"[0.0024343340000000002, 0.0006223555000000001]","[None, 1.4821000000000001e-05]",0.0006223555000000001,1.4821000000000001e-05,2.0,0.00999424,"[0.0, 0.0057011859]",0.801,0.047,139.7
30,FRB20190118A,225.1082,0.0047,255.1068,11,11.4984,12,591.0,59.0,448.0,45.0,12.14,0.52,0.0,0.0,-9999,0.004,86.0,0.029,-0.7000000000000001,0.001,41,13,46,2.48,-9999.0,0.45,1.024e-05,225.097090315,0.0047161055000000006,"[0.00012869310000000002, 4.94211e-05]","[5.7331100000000004e-05, 1.46571e-05]",4.94211e-05,3.6480000000000004e-07,2.0,0.00181248,"[0.0, 0.0002899804]",0.258,0.016,400.0
31,FRB20190121A,425.275,0.034,354.5985,14,78.5798,15,36.5,3.7,5.42,0.55,68.5,2.3,4.1,2.1,-9999,0.012,95.5,0.046,95.4,0.063,10,15,46,2.48,1.01,0.97,8.192e-05,425.3048649608,0.034260644800000004,[0.0007477737],[2.0637000000000002e-05],0.0007477737,2.0637000000000002e-05,1.0,0.01032192,[0.0],4.007,0.073,400.0
32,FRB20190122C,690.0325,0.0078,200.4987,12,17.5914,13,115.0,12.0,12.9,1.3,18.6,0.0,0.0,0.0,-9999,0.013000000000000001,50.6,0.021,50.7,0.019,2,3,41,3.73,1.07,1.07,2.048e-05,690.0324780386,0.007841387,"[0.0007425211, 0.0005571283, 9.864740000000001e-05, 0.0018530824000000002, 0.0007791355, 0.0006902337000000001, 0.0057637282]","[0.000179034, 2.99472e-05, 6.5645e-06, 0.0001086531, 4.9456700000000004e-05, 0.0007704448000000001, 0.0005408143]",9.864740000000001e-05,6.5645e-06,7.0,0.027750399999999998,"[0.0, 0.0030958680000000003, 0.007389901900000001, 0.01107974, 0.0146806565, 0.020760509]",~0.272,0.0,400.0
33,FRB20190124B,441.64,0.19,214.7106,30,28.774,36,20.3,2.1,2.31,0.27,17.1,0.24,0.0,0.0,-9999,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999,-9999,-9999.0,-9999.0,0,0.00065536,441.5383004494,0.1965700239,[0.0016163507000000001],[0.00011815460000000001],0.0016163507000000001,0.00011815460000000001,1.0,0.02097152,[0.0],5.364,0.465,400.0
34,FRB20190124F,254.7986,0.0045,339.016,14,5.3271,17,32.4,3.3,18.4,1.9,15.6,0.0,0.0,0.0,-9999,0.011,5.0,0.08,4.6,0.088,-4,11,42,3.73,-9999.0,0.72,2.048e-05,254.7986442312,0.0044701276,"[0.0001165485, 5.52492e-05, 8.38279e-05, 2.4695900000000002e-05, 5.20308e-05, 5.8496700000000005e-05]","[3.9934e-06, 9.9652e-06, 3.3376e-06, 1.55821e-05, 1.0474500000000001e-05, 4.8157e-06]",2.4695900000000002e-05,1.55821e-05,6.0,0.0027852800000000002,"[0.0, 0.0004679965, 0.0007999471, 0.0014050929, 0.0017953675000000001, 0.00202502]",~0.183,0.0,400.0
35,FRB20190130B,988.746,0.013,173.7121,14,16.0527,15,24.4,2.5,13.2,1.3,12.83,0.8,0.0,0.0,-9999,0.021,75.5,0.056,77.5,0.027,9,7,41,1.72,-9999.0,1.01,2.048e-05,988.7644883981,0.0131305012,[8.49153e-05],[4.7561e-06],8.49153e-05,4.7561e-06,1.0,0.00376832,[0.0],0.558,0.013,171.4
36,FRB20190131E,279.7981,0.006,206.7288,14,80.7734,18,721.0,74.0,935.0,94.0,109.71,0.87,91.6,2.3,-9999,0.013000000000000001,174.3,0.14200000000000002,-0.6000000000000001,0.012,-29,12,43,1.25,-9999.0,0.38,5.12e-06,279.7943183434,0.0060118789,[7.203500000000001e-05],[2.1492e-06],7.203500000000001e-05,2.1492e-06,1.0,0.00063488,[0.0],0.118,0.005,400.0
37,FRB20190201B,749.072,0.017,118.3688,21,55.4638,22,7.37,0.8,3.29,0.35,21.9,1.9,0.0,0.0,-9999,0.031,-157.2,0.154,-156.6,0.08600000000000001,-3,5,48,3.99,-9999.0,0.77,0.00016384,749.0766597502,0.016900749,[0.0003874],[2.00454e-05],0.0003874,2.00454e-05,1.0,0.00589824,[0.0],0.625,0.055,400.0
38,FRB20190202B,464.8392,0.0039,105.549,24,31.9041,14,-9999.0,-9999.0,-9999.0,-9999.0,11.96,0.92,0.0,0.0,"FRBdetected in a sidelobe of the primary beam, where systematics are not constrained; its position might be affected by unaccounted systematic errors. The absolute meridian angle is >2 deg, where the primary beam is unmodeled; flux and fluence are not calculated. ",0.01,-572.0,0.295,571.3,0.209,2,4,66,20.42,-9999.0,0.31,2.048e-05,464.8392478537,0.0038982259000000003,"[8.27921e-05, 0.0001026089]","[3.3847e-06, 1.56501e-05]",8.27921e-05,3.3847e-06,2.0,0.00147456,"[0.0, 0.00033437150000000004]",0.533,0.014,>329.6
39,FRB20190203A,420.586,0.0057,128.9984,15,70.8421,16,42.4,4.3,12.1,1.2,53.66,0.34,38.83,0.24,-9999,0.016,-341.6,0.109,-337.8,0.134,-16,4,44,2.39,-9999.0,0.64,8.192e-05,420.5499718241,0.0069864491,[0.0005731664],[1.66446e-05],0.0005731664,1.66446e-05,1.0,0.0073728,[0.0],0.821,0.049,400.0
40,FRB20190204B,1464.8415,0.0061,255.7251,35,75.9264,35,6.24,0.69,3.1,0.34,69.9,1.7,44.2,1.7,-9999,0.047,391.5,0.261,391.7,0.258,-23,16,44,2.67,-9999.0,0.85,0.00032768,1464.8349755131,0.008640062,[0.0001336913],[1.60875e-05],0.0001336913,1.60875e-05,1.0,0.00589824,[0.0],1.003,0.086,>220.1
41,FRB20190206A,188.3527,0.0034,246.2702,17,9.3321,21,643.0,65.0,89.3,9.2,18.28,0.13,0.0,0.0,-9999,0.016,-11.8,0.12,-0.30000000000000004,0.06,13,7,45,3.05,-9999.0,0.5700000000000001,0.00016384,188.2726210457,0.008534993000000001,"[0.0011254120000000001, 0.0003966568]","[3.3824e-05, 0.00023296040000000002]",0.0003966568,0.00023296040000000002,2.0,0.011304960000000001,"[0.0, 0.006085957]",1.88,0.085,400.0
42,FRB20190208C,238.3228,0.0051,126.0334,17,83.4001,20,41.9,4.7,57.7,6.0,117.9,4.2,74.9,8.2,-9999,0.025,-77.6,0.127,-80.7,0.133,-15,7,44,0.88,-9999.0,0.73,2.048e-05,238.3221275345,0.0050791919,[2.8095e-05],[2.0281e-06],2.8095e-05,2.0281e-06,1.0,0.0009830400000000001,[0.0],0.103,0.006,>319.1
43,FRB20190210B,624.24,0.012,104.0372,13,23.7992,15,22.9,2.3,16.2,1.6,16.12,0.46,0.0,0.0,-9999,0.012,-359.3,0.098,-359.4,0.09,32,17,76,25.44,-9999.0,0.81,1.024e-05,624.2352593004,0.0122387438,"[0.0003287596, 0.0001548001]","[1.2079e-05, 4.6169e-06]",0.0001548001,4.6169e-06,2.0,0.0024064,"[0.0, 0.0012915813]",0.157,0.005,>129.8
44,FRB20190212B,600.1846,0.0027,139.7677,18,52.2019,19,7.66,0.8,4.44,0.46,24.3,0.99,0.0,0.0,-9999,0.021,175.8,0.188,-175.7,0.191,-10,3,43,2.17,-9999.0,0.73,1.024e-05,600.1805122711,0.002867844,"[8.68294e-05, 8.89745e-05, 0.0006850243]","[4.114e-06, 5.6854e-06, 2.80698e-05]",8.68294e-05,4.114e-06,3.0,0.00167936,"[0.0, 0.0005313845, 0.0007733093]",<0.087,0.0,400.0
45,FRB20190212C,1015.58,0.71,172.4552,32,28.146,38,40.3,4.1,1.79,0.23,7.3,2.7,0.0,0.0,-9999,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999,-9999,-9999.0,-9999.0,0,0.00065536,1015.6690085084,0.7073741405,[0.0028475205000000003],[0.0001892733],0.0028475205000000003,0.0001892733,1.0,0.04390912,[0.0],12.388,2.252,>319.1
46,FRB20190213D,1346.68,0.4,338.498,45,52.748,76,19.2,2.1,3.7,0.49,28.15,0.8,0.0,0.0,-9999,0.041,-319.4,0.41200000000000003,318.3,0.494,-126,33,47,3.33,-9999.0,0.89,0.00065536,1346.7621801855,0.4059081107,[0.0023349867],[0.000133273],0.0023349867,0.000133273,1.0,0.01048576,[0.0],<2.335,0.0,>78.6
47,FRB20190214C,532.955,0.014,218.8294,20,19.2882,26,12.8,1.3,3.23,0.34,17.93,0.27,0.0,0.0,-9999,0.029,1169.0,0.14400000000000002,-1169.6,0.095,8,5,42,6.1,-9999.0,0.84,0.00016384,532.8432513856,0.0152037899,[0.0004920116],[3.12874e-05],0.0004920116,3.12874e-05,1.0,0.00753664,[0.0],1.75,0.148,400.0
48,FRB20190217A,798.141,0.037,94.8603,33,43.246,43,6.23,0.69,1.04,0.15,12.4,3.9,0.0,0.0,-9999,0.057,594.0,0.178,595.1,0.305,6,11,62,2.83,0.8,0.9400000000000001,0.00065536,798.139626215,0.039582941600000005,[0.00042530350000000004],[4.7058500000000004e-05],0.00042530350000000004,4.7058500000000004e-05,1.0,0.01507328,[0.0],3.922,0.4,400.0
49,FRB20190224C,497.118,0.016,125.1238,19,19.8146,22,39.4,4.0,4.47,0.49,19.18,0.17,0.0,0.0,-9999,0.021,0.6000000000000001,0.25,0.8,0.259,23,9,63,6.42,-9999.0,0.54,0.00032768,497.1223201046,0.0176696757,[0.000181945],[3.17109e-05],0.000181945,3.17109e-05,1.0,0.01933312,[0.0],8.056,0.77,400.0
50,FRB20190224D,752.8921,0.006,338.0643,16,89.0782,19,13.5,1.4,11.4,1.2,1281.0,21.0,1102.0,23.0,-9999,0.019,-42.5,0.08600000000000001,-41.9,0.094,-16,8,44,24.68,1.04,0.81,1.024e-05,752.8921224803,0.0059923663,"[5.0594000000000004e-05, 9.38904e-05, 3.32414e-05, 4.68312e-05, 0.0005333446]","[1.7036e-06, 1.20252e-05, 8.642600000000001e-06, 4.6268e-06, 2.96941e-05]",3.32414e-05,8.642600000000001e-06,5.0,0.00155648,"[0.0, 0.00025292200000000004, 0.0004554936, 0.0006129419000000001, 0.0009701654000000001]",~0.023,0.0,400.0
51,FRB20190226A,601.5461,0.0071,58.8369,18,31.912,20,5.42,0.6,9.1,0.93,17.17,0.16,0.0,0.0,-9999,0.024,234.4,0.151,-234.1,0.149,23,21,55,2.48,0.96,0.65,1.024e-05,601.5379310418,0.0071296451,[5.29505e-05],[3.0020000000000002e-06],5.29505e-05,3.0020000000000002e-06,1.0,0.0006655999999999999,[0.0],0.159,0.007,400.0
52,FRB20190227A,394.0305,0.008,108.1239,14,56.2749,14,23.0,2.3,7.25,0.74,29.83,0.58,0.0,0.0,-9999,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,24,11,50,-9999.0,-9999.0,<0.14,4.096e-05,394.0369455086,0.0083623214,"[0.0002143904, 5.04558e-05, 0.000144264, 0.0008146197000000001, 0.00037002970000000004]",[3.3159000000000003e-06],5.04558e-05,6.202e-07,5.0,0.00872448,"[0.0, 0.0012529674000000001, 0.0018796087, 0.0018167665, 0.0027427413]",0.289,0.024,>251.8
53,FRB20190301A,459.439,0.016,313.0391,19,69.7435,21,13.5,1.5,3.34,0.41,41.2,1.2,0.0,0.0,Event of the repeating source FRB20190222A. ,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999,-9999,-9999.0,-9999.0,0,0.00065536,459.7829646072,0.0430966168,"[0.0005001079, 0.0010328363, 0.00333587]","[3.32207e-05, 3.8228e-05, 0.00033134900000000004]",0.0005001079,3.32207e-05,3.0,0.01376256,"[0.0, 0.0024593743, 0.0072336105]",<0.5,0.0,133.3
54,FRB20190303B,193.4292,0.0045,128.6877,11,66.0059,11,111.0,11.0,34.4,3.4,32.3,1.5,0.0,0.0,-9999,0.003,31.1,0.012,31.1,0.003,-23,3,44,3.55,-9999.0,0.62,5.12e-06,193.4413513625,0.0045663999,"[7.70611e-05, 9.56365e-05, 0.0004550898]","[5.2299000000000005e-06, 1.1461000000000001e-06, 2.32453e-05]",7.70611e-05,5.2299000000000005e-06,3.0,0.00676864,"[0.0, 0.0010912902, 0.0023409925000000002]",1.303,0.005,400.0
55,FRB20190304A,483.5212,0.0082,118.3675,26,74.6021,18,56.9,5.9,26.5,2.7,68.2,0.21,36.0,1.6,-9999,0.02,-78.0,0.126,78.0,0.121,-12,5,44,1.83,-9999.0,0.5700000000000001,2.048e-05,483.5163112968,0.0082649772,[5.7272100000000003e-05],[6.3207e-06],5.7272100000000003e-05,6.3207e-06,1.0,0.0028262400000000003,[0.0],0.817,0.023,400.0
56,FRB20190304B,469.903,0.019,204.9119,35,24.0913,34,6.9,0.77,3.11,0.35,16.84,0.5,0.0,0.0,-9999,0.046,39.5,0.232,-39.0,0.14100000000000001,5,1,41,1.12,-9999.0,1.03,0.00016384,469.9238800148,0.0193398258,[0.00011130060000000001],[1.8405600000000002e-05],0.00011130060000000001,1.8405600000000002e-05,1.0,0.0057344,[0.0],0.562,0.039,>158.7
57,FRB20190320A,614.25,0.11,61.3282,34,63.361,41,6.11,0.69,2.01,0.25,39.88,0.22,0.0,0.0,-9999,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-29,19,49,-9999.0,-9999.0,<0.16,0.00065536,614.0493500164,0.11384551100000001,[0.0008506291],[5.1493600000000004e-05],0.0008506291,5.1493600000000004e-05,1.0,0.00917504,[0.0],1.626,0.163,400.0
58,FRB20190320B,489.5006,0.008,250.5549,15,39.7956,16,11.8,1.2,11.3,1.1,23.1,0.0,0.0,0.0,-9999,0.014,53.3,0.056,53.4,0.057,21,3,42,1.9100000000000001,0.99,0.98,1.024e-05,489.5005754754,0.007994284,"[1.67035e-05, 8.5425e-06, 0.0001032236, 1.59278e-05, 6.5782e-05]","[2.2943e-06, 5.141e-07, 8.002900000000001e-06, 4.6062e-06, 2.2894e-06]",8.5425e-06,5.141e-07,5.0,0.00183296,"[0.0, 0.0001106856, 0.000762972, 0.0011395117, 0.0013900746]",~0.141,0.0,400.0
59,FRB20190320E,299.094,0.021,67.7107,19,89.134,22,17.7,1.9,7.31,0.76,1279.0,22.0,1121.0,19.0,-9999,0.028,-75.1,0.112,75.7,0.015,-17,7,44,1.63,0.85,0.9500000000000001,8.192e-05,299.0712678964,0.021867248500000002,[0.00024303900000000002],[1.37691e-05],0.00024303900000000002,1.37691e-05,1.0,0.0057344,[0.0],1.889,0.094,400.0
60,FRB20190322A,1059.679,0.076,110.564,93,51.176,78,15.3,1.6,0.687,0.095,19.4,3.8,0.0,0.0,-9999,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999,-9999,-9999.0,-9999.0,0,0.00065536,1060.2685427227,0.0880736497,[0.0010240732],[0.0001399032],0.0010240732,0.0001399032,1.0,0.03473408,[0.0],15.276,1.274,>327.7
61,FRB20190323B,789.5272,0.0075,192.8926,12,77.1408,12,16.3,1.6,22.3,2.2,64.6,1.7,74.52,0.14,-9999,0.005,229.5,0.018000000000000002,229.1,0.003,-15,8,43,2.5700000000000003,0.9400000000000001,0.91,2.56e-06,789.5272190619,0.0074545232,"[6.6534000000000005e-06, 5.5688e-06, 2.20888e-05]","[3.821e-07, 3.296e-07, 1.1688000000000001e-06]",5.5688e-06,3.296e-07,3.0,0.00068864,"[0.0, 0.0001046472, 0.00023761110000000002]",~0.227,0.0,400.0
62,FRB20190327A,346.5793,0.0073,281.3318,14,34.2765,14,8.9,0.92,7.02,0.71,15.31,0.77,0.0,0.0,-9999,0.015,11.2,0.134,11.2,0.113,61,19,44,3.03,1.18,0.48,5.12e-06,346.5793109927,0.0072588415,"[6.04016e-05, 8.87638e-05]","[4.975000000000001e-06, 3.4471500000000004e-05]",6.04016e-05,4.975000000000001e-06,2.0,0.0011878400000000001,"[0.0, 0.00034370230000000003]",0.444,0.018,400.0
63,FRB20190405B,1113.718,0.067,306.6506,33,88.6207,28,53.3,5.6,8.8,1.0,681.7,8.4,684.9,2.8,-9999,0.026000000000000002,1.8,0.263,2.0,0.258,-22,8,44,5.9,-9999.0,0.46,0.00032768,1113.7094904663,0.0675047213,[0.0005131041],[3.79244e-05],0.0005131041,3.79244e-05,1.0,0.01015808,[0.0],3.054,0.221,>282.3
64,FRB20190410B,642.1523,0.0077,267.6038,14,15.1121,17,359.0,37.0,365.0,37.0,18.28,0.23,0.0,0.0,-9999,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999,-9999,-9999.0,-9999.0,0,2.048e-05,642.1522602996,0.0078016492,[0.0001102198],[5.4008e-06],0.0001102198,5.4008e-06,1.0,0.00180224,[0.0],0.205,0.012,>198.6
65,FRB20190411B,1229.4168,0.0067,154.102,48,29.317,119,4.99,0.57,1.54,0.21,14.7,1.5,0.0,0.0,-9999,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,34,8,40,-9999.0,-9999.0,<0.23,0.00016384,1229.4230851702,0.0118090863,"[0.0003164972, 0.0005347929000000001, 0.0004233207]","[4.8032600000000005e-05, 0.0001538685, 7.55162e-05]",0.0003164972,4.8032600000000005e-05,3.0,0.00458752,"[0.0, 0.0011871521, 0.0028114189000000003]",<0.316,0.0,>228.0
66,FRB20190411C,233.714,0.0082,10.6856,11,20.479,11,91.8,9.2,51.9,5.2,19.202,0.093,0.0,0.0,-9999,0.004,-21.4,0.016,-20.4,0.019,-23,2,43,149.03,-9999.0,0.8,2.56e-06,233.7140044426,0.008217657100000001,"[6.347050000000001e-05, 4.47297e-05, 2.23423e-05, 0.0001077728, 6.277810000000001e-05, 1.85904e-05, 3.44726e-05, 0.0002490512, 2.7867000000000003e-05, 0.0001622343, 0.0001229297]","[6.176e-07, 7.237000000000001e-07, 4.143e-07, 2.3769e-06, 2.1459e-06, 1.9792e-06, 1.8454000000000002e-06, 8.6345e-06, 1.8995e-06, 4.9718e-06, 2.7524e-06]",1.85904e-05,1.9792e-06,11.0,0.00261888,"[0.0, 0.00018233260000000002, 0.00028953400000000004, 0.0004490103, 0.0007726218, 0.0008851784000000001, 0.0010677415, 0.0011904551, 0.0016077542000000002, 0.0019419549000000002, 0.0022424139000000003]",~0.013,0.0,400.0
67,FRB20190412A,364.548,0.013,243.2154,18,61.8405,19,11.5,1.2,3.47,0.37,37.93,0.21,0.0,0.0,-9999,0.021,-168.7,0.191,167.6,0.07,-13,7,43,10.82,1.0,0.74,4.096e-05,364.5570082123,0.013179054400000001,"[0.0002179258, 9.26787e-05, 4.9191100000000004e-05]","[9.7002e-06, 1.0477e-05, 6.1054e-06]",4.9191100000000004e-05,6.1054e-06,3.0,0.00438272,"[0.0, 0.0012884288000000002, 0.0018473641]",0.962,0.031,400.0
68,FRB20190417C,320.2664,0.0043,45.6485,11,71.2554,11,77.9,7.8,105.0,10.0,12.5,9.7,39.66,0.55,-9999,0.001,475.4,0.004,-475.4,0.0,5,11,47,16.88,-9999.0,0.92,2.56e-06,320.2663947092,0.0043112331,"[2.18384e-05, 4.67887e-05]","[2.7499e-06, 9.23e-08]",2.18384e-05,2.7499e-06,2.0,0.00077056,"[0.0, 0.000224484]",~0.145,0.0,400.0
69,FRB20190418A,184.4726,0.0033,65.8093,26,16.0791,33,4.78,0.56,2.87,0.34,18.37,0.28,0.0,0.0,-9999,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-40,24,63,-9999.0,-9999.0,<0.28,0.00016384,184.4763859452,0.0086528397,[0.0005942591],[2.5865700000000002e-05],0.0005942591,2.5865700000000002e-05,1.0,0.0024576,[0.0],<0.594,0.0,133.3
70,FRB20190419B,165.128,0.017,256.4518,15,86.7633,19,21.5,2.2,17.6,1.8,302.5,3.1,39.5,2.9,-9999,0.013000000000000001,4.1,0.298,-10.6,0.076,-31,10,44,-9999.0,-9999.0,0.23,2.048e-05,165.1280172597,0.0167998307,"[0.0003800181, 0.00011220820000000001]","[1e-10, 1e-10]",0.00011220820000000001,1e-10,2.0,0.00192512,"[0.0, 0.00045056]",~0.354,0.0,400.0
71,FRB20190420B,846.6459,0.0088,94.443,38,70.074,39,39.5,4.0,3.19,0.37,21.1,9.3,41.4,0.0,-9999,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999,-9999,-9999.0,-9999.0,0,0.00065536,846.845858856,0.0088468152,[0.0008027178],[0.0001099385],0.0008027178,0.0001099385,1.0,0.0196608,[0.0],3.218,1.085,>114.6
72,FRB20190423A,242.5998,0.0079,179.4682,11,55.318,11,362.0,36.0,77.9,7.8,28.21,0.55,0.0,0.0,-9999,0.002,23.1,0.006,-22.9,0.007,9,2,41,8.37,-9999.0,0.9500000000000001,2.56e-06,242.5998222522,0.007871626500000001,"[0.0002874178, 0.0005533574]","[1.4377e-06, 6.71e-06]",0.0002874178,1.4377e-06,2.0,0.00850688,"[0.0, 0.0039357457]",~2.353,0.0,>294.4
73,FRB20190423D,496.34,0.95,30.0391,23,84.6806,30,22.0,2.3,1.91,0.22,174.7,5.3,190.5,1.9,-9999,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-10,8,45,-9999.0,-9999.0,<0.2,0.00065536,496.3207649551,0.9531279286000001,[0.0018010364000000001],[9.985320000000001e-05],0.0018010364000000001,9.985320000000001e-05,1.0,0.0196608,[0.0],6.586,0.387,400.0
74,FRB20190425A,128.135,0.013,255.6698,11,21.5779,11,30.3,3.0,56.7,5.7,18.44,0.2,0.0,0.0,-9999,0.003,57.3,0.004,57.0,0.002,49,15,44,10.78,1.026,0.9500000000000001,1.024e-05,128.1350434729,0.013375359500000001,"[6.5854000000000005e-06, 2.4759500000000002e-05, 8.309700000000001e-06, 7.717640000000001e-05, 8.0697e-06]","[9.593e-07, 1.3949e-06, 9.099000000000001e-07, 8.42e-08, 7.052e-07]",6.5854000000000005e-06,9.593e-07,5.0,0.00072704,"[0.0, 0.00018434200000000002, 0.00044015, 0.0005581681, 0.0006019228]",~0.03,0.0,400.0
75,FRB20190425B,1031.633,0.013,153.4102,15,88.3676,17,24.9,2.6,21.7,2.2,541.3,5.3,266.0,30.0,-9999,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-25,9,44,-9999.0,-9999.0,<0.26,1.024e-05,1031.6269817657,0.0132045541,"[0.0001697462, 0.0001347639]","[1.19613e-05, 4.4321e-06]",0.0001347639,4.4321e-06,2.0,0.00172032,"[0.0, 0.0007937879]",0.188,0.008,>253.8
